Project title,Predictor,Response,Working hypothesis (prediction),General hypothesis (long),"Theory (as a single noun, according to Scheiner & Willig 2007; 2011)",Biodiversity as Response variabe,"Just monitoring biodiversity change (without any specific driver in mind, just because we are in the anthropocene)",Biodiversity as explanatory variable,To which of the 4 classical processes (Vellend 2010) human action influence biodiversity patterns,Notes
"Effects of land use and site specific conditions  on biodiversity and food web structure in kettle holes (site specific conditions refers to hydrogeomorphology, hydroperiod, water quality, etc…;biodiversity refers to the phytoplankton and zooplankton community)",Land use and site specific conditions,Phytoplankton and zooplankton community structure and food web structure,"Hydrogeomorphology, hydroperiod, water quality (and other kettle hole conditions) determine food web structure of phyotplankton and zooplankton communities",Spatial heterogeneity predicts food web patterns,Ecological gradient theory AND Food web theory,Yes,No,No,Selection,
"Effects of land use, carbon inputs (canopy cover) and drought on patterns of community density and food-web: assembly rules (species and functional traits), emergence rates, food web topology (connectance, linkage density, nestedness)","Land use, carbon inputs and drought","Taxonomic and functional community structure, emergence rates, food web topology","Land use, canopy cover and drought predict taxonomic and functional trait community structure AND Emergence rates AND Food web topology",Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,Yes,Selection AND Drift,
Establishing plots in the AgroScapeLabs for future research in different habitat types in the landscape context,NA,NA,NA,NA,NA,NA,Yes,,NA,
Evaluating and managing novel ecosystems (Conceptual paper on environmental ethics and management application),NA,NA,NA,NA,Global change theory,NA,NA,NA,NA,
Experimental rapid evolution of herbivores in response to novel plant chemical defences (Glasshouse experiment; feeding assay),Novel plant chemical defenses,Evolution of herbivores,Novel plant chemical defenses cause rapid evolution of herbivores,Species evolve differently to novel environements compared to natural ones,Global change theory,Yes,No,Yes,Speciation,
"Gradients in ecological novelty and their effects on ecosystem functioning (Systematic review, maybe meta-analysis)",Gradients of ecological novelty,ecosystem functioning,Novelty predicts ecosystem functioning,Ecosystems respond differently to novel environements compared to natural ones,Global change theory,Yes,No,No,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
Grasshopper mapping. 64 urban grassland plots with known land use history in Berlin.,Land use history,Grassoper mapping,Land use history predicts grasshoper distribution (?),Historical contigency predict species distributions,Single population dynamics theory ?,Yes,No,No,Drift,Are you interested in how history influence stochastically grasshoper distribution?
Herbivore population differentiation along an urbanity gradient (Field study of insect traits along an urbanity gradient; feeding bioassays),Urbanity gradient,Insect traits,Urbanization predicts herbivore population differentiation,Species evolve differently to novel environements compared to natural ones,Global change theory,Yes,No,No,Speciation,
"Historical landscape configuration of AgroScapeLabs (1780-today); fragmentation, habitat turn-over…",NA,Historical landscape configuration in AgroScapeLabs,NA,NA,NA,NA,Yes,No,Drift,
Intraspecific variability through food web levels: functional approach,NA,Intraspecific trait variabilty through food webs,NA,NA,Food web theory,NA,NA,NA,NA,
Land use effects of Bacterial/Archaeal/Eukaryotic Spatio-(Temporal) diversity in the kettle holes,Land use,Bacterial/archaeal/eukaryotic diveristy in kettle holes,Land use influence spatio temporal patterns of microbial (and macro?) diversity of kettle holes,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection,
Landscape connectivity and biodiversity,Landscape connectivity,biodiversity,Habitat connectivity determines biodiversity,Habitat network topology predicts community structure patterns,Metacomunity theory,Yes,No,No,Dispersal,
Light pollution measurement 64 urban grasslands,Light pollution,grasslands,Ligh pollution influence grasslands,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,Yes,No,Selection,Are you interested in the impact of light pollution on the fitness of the species? do you think is predictable?
Local adaptation of native plants in novel urban ecosystems (Reciprocal transplant experiment along an urbanity gradient; may be coupled to a glasshouse experiment),Urban ecosystems,Local adapatation of native plants,Native plants are locally adapted to noverl urban ecosystems/ Urban ecosystem cause local adaptation of native plants,Species evolve differently to novel environements compared to natural ones,Global change theory,Yes,No,No,Speciation,
Mammal distribution (species richness) across European cities – what traits make animals able to use urban landscapes?  - Analysis of available species distribution data using database GIS and machine learning approaches.,Urban landscapes,Mammal traits,Traits predict mammal distribution in urban landscapes,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,Yes,Selection,
"Monitoring of rodent density and diversity (fur trapping + life trapping), Sampling for population genetics,",NA,Rodent density and diversity,NA,NA,NA,Yes,Yes,NA,NA,
MSC-thesis: Does urban structure hamper the spread of foxes (Vulpes vulpes) and canine distemper virus (CDV) in urban red foxes (Vulpes vulpes).,Urbanization,spread of foxes and fox virus,Urban structructure decreases the spread of foxes and cannine distemper virus,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Dispersal,Are you interested in the impact of urban parameter in dispersal rates?
MSC-thesis: Sand lizard distribution and influence of pets (camera trapping @ BIBS grassland plots),Pets,Sand lizard distribution,Pets influence sand lizard distribution,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Selection,
Original research: Influence of drought on community composition and functional ecology of root associated microbiome. Part I: Grassland species (26 Grassland species growing in the AgroscapeLabs),Drought,Microbial community structure in roots,Drought influence taxonomic and functional (trait) community compostion of the root microbiome of grassland plants,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection AND Drift,
Original research: Influence of drought on community composition and functional ecology of root associated microbiome. Part II Crops species (5 crop species with 5 genotypes growing in the AgroscapeLabs),Drought,Microbial community structure in roots,Drought influence taxonomic and functional (trait) community compostion of the root microbiome of crop plants,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection AND Drift,
"Overall Biodiversity mapping. 64 urban grasslands (Plants, Grasshopper, Carabids, Spiders, Ants, Lepidoptera, bees). + Trait measurement",NA,Biodiversity,NA,NA,NA,NA,Yes,NA,NA,
Perspective paper: Applying ecological theory within fungal ecology,Body size,Fungal ecology,Fungal body size predicts other fungal (functional) traits,Organism characteristics predicts ecological patterns (cf. 3. fundamental principle in table 1.3 of Scheiner and Willig book),Life history theory ?,Yes,No,Yes,Selection,
Perspective paper: Introducing Fun-to-Fun: a trait database for fungi,NA,NA,NA,NA,NA,NA,Yes,NA,NA,
"Plant species diversity in dry grasslands, mesic grasslands, forests and agricultural fields in dependence of different landscape variables",Landscape variables,Plant diversity,Landscape heterogeneity predicts plant species diversity in dry and mesic grasslandsl forest and agricultural fields,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection,
"Plant-soil interactions in individual-based models – how can soil processes/soil biota (P-cycle, soil fungi, etc.) be integrated into existing IBC-grass / NetLogo models? – modeling will be accompanied by highly mechanistic experiments testing for the modeled processes and usage of data bases",Plant soil interactions,Plant community structure,Plant-soil interactions determine plant community structure,Species interactions predict community structure,Niche theory,Yes,No,Yes,Selection,
Pollination experiments,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Review of mechanisms of diversity maintenance in the root microbiome,X factors,Microbial community structure in roots,Trade-offs predict root microbiome community structure,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,Yes,Selection,
Review: animal-plant interactions in urban areas – structured literature review.,Urban areas,animal-plant interactions,Urbanization influences animal-plant interactions,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Selection,
Review: Ecological significance of spore size in the AM-Symbiosis,Spore size,Fungal ecology,Spore size predicts distinct ecology of arbuscular mycorrhizal fungal species,Organism characteristics predicts ecological patterns (cf. 3. fundamental principle in table 1.3 of Scheiner and Willig book),Life history theory ?,Yes,No,Yes,Selection,
Review/Meta-analysis: Effects of drought on soil microbial communities,Drought,Microbial community structur in soil,Drought influence root microbiome community structure,Spatial heterogeneity predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection AND Drift,"Do you assume that drought has predictable on the fitness of species? or Do you assume is a disturbance events that ""randomly"" reduce species abundances?"
Seed establishing / plant competition experiments (sand pink + another species),Plant competition,NA,Plant competition at early stages determine plant community composition,Species interactions predict community structure,Niche theory,Yes,No,Yes,Selection,
"Seed predation experiment: using standardized seed sets and exclusion treatments ( rodents, insects, + control)",Seed predation,NA,Seed predation determines plant community structure,Species interactions predict community structure,Niche theory,Yes,No,Yes,Selection,
Soil arthropods (see above),NA,NA,NA,NA,NA,NA,NA,NA,NA,
Soil carbon transformations along aquatic-terrestrial and urban-agricultural gradient (WP2-WP5),Aquatic to terrestrial gradients and urban to agricultural gradients,Soil carbon transformations,Urbanization influence soil carbon transformation; ,Ecosystems respond differently to urban environements compared to natural ones,Global change theory,Yes,No,No,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
Soil carbon transformations along aquatic-terrestrial and urban-agricultural gradient (WP2-WP5),Aquatic to terrestrial gradients and urban to agricultural gradients,Soil carbon transformations,Aquatic to terrestrial gradients influence soil carbon transformations,Spatial heterogeneity predicts ecosystem functions,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
Soil conditioning and interactions of native and invasive species along a gradient of urbanization,Gradient of urbanization,soil conditioning and interactinos of native and invasive species,Urbanization influence soil conditioning and interactions of native and invasive species,Ecosystems and biodiversity respond differently to urban environements compared to natural ones,Global change theory,Yes,No,No,Selection,
Soil conditioning and interactions of native and invasive species along a gradient of urbanization,Gradient of urbanization,soil conditioning and interactinos of native and invasive species,Urbanization influence soil conditioning and interactions of native and invasive species,Ecosystem and biodiversity responses to urban environment depend on the status (native or invasive) of the species,Global change theory,Yes,No,,Selection,
Trait changes in selected amphibian species along spatio-temporal gradients from natural to urban/agricultural landscapes (Analysis of museum specimen and field study),urban to agricultural lanscapes,trait changes in amphibian species,Urbanization causes trait changes in anphibian species,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Selection,
Trait changes in selected arthropod species along spatio-temporal gradients across urban to rural landscapes (Analysis of museum specimen and field study),urban to rural landscapes,trait changes in arthropod species,Urbanization causes trait changes in arthropod species,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Selection,
Trait variation of plant communities in dry grasslands,NA,Trait variation in plants in dry grasslands,NA,NA,NA,NA,Yes,NA,NA,
"Urban fox: Population ecology, space use, nutrition and diseases in urban areas – GPS tracking, ACC Measurement, DNA-Metabarcoding, population and landscape genetics.",urban areas,"Fox population ecology, space use, nutrition and diseases",Short term disturbance influence Fox movement and nesting behavior,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Dispersal,
"Urban hedgehog: Hedgehog distribution and space use in urban and rural areas. – GPS tracking, ACC Measurement, nesting behavior, light pollution, genetics ",urban and rural areas,hedgehog distribution in space,Urban aereas influence Hedgehog movement and nesting behavior,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Dispersal,
"Urban hedgehog: Hedgehog responses to short term disturbance (i.e. Music festivals) – GPS tracking, ACC Measurement, nesting behavior",Short term distrubance (music festivals),hedgehog responses,Short term disturbance influence Hedgehog movement and nesting behavior,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Dispersal,
"Urban raccoon: Population ecology, space use, nutrition and diseases in urban areas – GPS tracking, ACC Measurement, DNA-Metabarcoding, population and landscape genetics.",urban areas,"hedgehog population ecology, space use, nutrition and diseases",Urban areas influence Racoon movement and nesting behavior,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Dispersal,
Urbanization effects on trait variation in ants,Urbanization,ant traits,Urbanization causes trait variation in ants,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,No,Selection,Are you interested in the impact of urbanization on the fitness of ant species with particular traits? is it predictable? is urbanization a random phenomenon or it follows a trend?
"What is ecological novelty, and how can it be quantified? (Literature review and conceptual work)",Ecological novelty,NA,NA,NA,Global change theory,NA,NA,NA,NA,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
